state,district,rainfall_recharge_monsoon_ham,other_recharge_monsoon_ham,rainfall_recharge_nonmonsoon_ham,other_recharge_nonmonsoon_ham,annual_groundwater_recharge_ham,natural_discharges_ham,annual_extractable_groundwater_resource_ham,gw_extraction_irrigation_ham,gw_extraction_industrial_ham,gw_extraction_domestic_ham,current_annual_groundwater_extraction_ham,annual_gw_allocation_domestic_2035_ham,net_groundwater_availability_future_use_ham,stage_groundwater_extraction_pct,derived_stage_class,source_id,source_year,source_url,data_status
Uttarakhand,Udham Singh Nagar,57528.2,9071.34,3064.31,9927.65,79591.5,4835.14,74756.36,32366.87,6612.585,3227.21,42206.665,9388.03,26388.87,56.46,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Uttarakhand,Nainital,17510.26,3324.67,4236.36,3830.09,28901.38,2890.14,26011.24,8060.14,2041.08,4004.01,14105.23,5038.01,10872.02,54.23,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Alipurduar,102782.18,1129.37,21452.15,3720.79,129084.49,12908.47,116176.02,9366.1,163.89,3451.19,12981.17,4763.85,101882.19,11.17,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Bankura,99518.21,16704.88,15913.61,28557.55,160694.25,13657.53,147036.71,50234.5,403.9,8799.39,59437.76,10248.19,87496.3,40.42,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Birbhum,75798.55,8355.99,12368.14,15965.28,112487.96,9393.64,103094.32,24501.5,1329.21,8633.45,34464.15,10811.84,66451.77,33.43,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Dakshin Dinajpur,65857.66,8932.13,12931.9,25545.13,113266.82,11096.97,102169.85,58067.8,192.55,3962.14,62222.5,4546.8,39362.68,60.9,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Darjiling,34042.06,522.42,7397.67,400.98,42363.13,4236.32,38126.81,2132.7,632.49,558.28,3323.45,922.87,34438.76,8.72,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Haora,17344.52,861.93,3325.09,1372.87,22904.41,1714.19,21190.22,1248.0,409.02,2701.84,4358.87,4615.93,15585.29,20.57,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Hugli,80021.45,8943.52,16644.65,22847.4,128457.02,12050.82,116406.2,50176.1,1945.22,10589.33,62710.62,13251.96,51510.44,53.87,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Jalpaiguri,150286.43,1962.58,30717.68,5411.66,188378.35,18837.83,169540.51,12700.5,1118.0,6535.2,20353.68,18364.82,137357.2,12.01,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Jhargram,73103.8,4470.85,15109.92,9503.67,102188.24,8033.58,94154.65,20429.6,326.49,2851.27,23607.35,3326.45,70072.11,25.07,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Kalimpong,3156.89,190.46,557.84,99.62,4004.81,400.49,3604.32,0.0,2.46,62.51,64.97,63.74,3538.11,1.8,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Koch Bihar,135906.96,9118.81,30672.63,31503.4,207201.8,20720.18,186481.62,79018.8,101.64,7044.2,86164.64,8708.72,98652.48,46.21,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Malda,81043.64,7072.44,13383.82,16343.54,117843.44,11041.76,106801.68,27805.5,331.74,8030.72,36167.96,12131.0,66533.44,33.86,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Murshidabad,115697.57,14019.34,27520.69,38204.12,195441.72,14471.38,180970.34,90904.8,432.66,14342.63,105680.05,202365.14,69072.73,58.4,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Nadia,102139.93,21274.99,23149.42,48347.7,194912.04,18417.56,176494.48,135236.0,477.11,8760.77,144473.85,12020.06,28761.35,81.86,SEMI_CRITICAL,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,North 24 Parganas,75820.82,14794.38,19096.05,41720.83,151432.08,12447.56,138984.52,83556.2,2214.09,11939.54,97709.84,17215.67,39552.91,70.3,SEMI_CRITICAL,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Paschim Barddhaman,16033.03,1800.15,3513.51,2821.51,24168.2,2212.21,21955.99,2602.84,4247.49,5000.81,11851.12,6619.71,9249.16,53.98,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Paschim Medinipur,157982.51,12887.26,29960.86,39928.38,240759.01,22426.35,218332.66,103186.4,1259.73,11993.78,116439.91,14391.47,99759.66,53.33,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Purba Barddhaman,123743.34,16361.27,25331.09,36872.3,202308.0,18695.03,183612.97,83940.2,849.82,11477.49,96267.52,13616.07,86753.21,52.43,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Purba Medinipur,45870.98,2885.89,10246.14,8066.13,67069.14,6706.91,60362.23,17103.2,20.72,4896.9,22020.83,6779.04,36459.26,36.48,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Puruliya,33503.99,9037.97,5742.81,10762.79,59047.56,5904.74,53142.82,2001.2,140.15,7316.82,9458.18,9387.08,41614.39,17.8,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
West Bengal,Uttar Dinajpur,78946.22,6869.21,16104.44,19468.81,121388.68,10361.54,111027.15,43425.1,312.08,8276.91,52014.09,11304.37,55985.62,46.85,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andaman and Nicobar Islands,N & M Andaman,8894.86,73.12,7481.5,78.78,16528.26,1652.84,14875.42,0.8,83.24,262.06,346.11,269.19,14522.18,2.33,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andaman and Nicobar Islands,Nicobar,4732.16,7.46,6264.08,8.68,11012.38,1101.25,9911.13,0.25,0.95,88.29,89.45,90.68,9819.28,0.9,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andaman and Nicobar Islands,South Andaman,5974.52,13.76,4802.74,6.7,10797.72,1079.76,9717.96,10.65,13.61,322.86,347.12,331.62,9362.07,3.57,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Chandigarh,Chandigarh,1322.99,1322.49,94.73,2578.22,5318.43,531.85,4786.58,550.5,218.18,2438.21,3206.89,3435.82,582.08,67.0,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Dadra and Nagar Haveli and Daman and Diu,Dadra Nagar Haveli,5149.46,1555.43,329.73,2785.43,9820.05,724.27,9095.78,888.62,997.63,1292.4,3178.65,3207.59,4001.94,34.95,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Dadra and Nagar Haveli and Daman and Diu,Daman,1875.7,67.71,0.0,593.25,2536.66,126.83,2409.83,215.1,507.0,731.13,1453.23,1808.1,956.6,60.3,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Dadra and Nagar Haveli and Daman and Diu,Diu,143.1,16.69,0.0,27.03,186.82,9.34,177.48,42.2,22.7,28.45,93.35,34.9,77.68,52.6,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Delhi,Central,434.96,708.62,25.91,1397.5,2566.99,256.7,2310.29,248.57,0.0,1498.47,1747.05,2286.65,563.24,75.62,SEMI_CRITICAL,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
