state_code,state,district_code,district,state_census2011_code,district_census2011_code,source_id,source_year,source_url
36,Telangana,685,Kamareddy,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
18,Assam,618,Kamrup Metro,18,322,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
32,Kerala,557,Kannur,32,589,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,157,Kanpur Nagar,09,164,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
3,Punjab,35,Kapurthala,03,036,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
37,Ladakh,6,Kargil,00,004,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
33,Tamil Nadu,576,Karur,33,613,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
1,Jammu And Kashmir,7,Kathua,01,007,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,770,Khairthal-Tijara,08,NA,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
23,Madhya Pradesh,405,Khandwa (East Nimar),23,466,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
29,Karnataka,542,Kolar,29,581,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,699,Kumuram Bheem Asifabad,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
15,Mizoram,264,Lawngtlai,15,287,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
20,Jharkhand,336,Lohardaga,20,356,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
12,Arunachal Pradesh,235,Lower Dibang Valley,12,258,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
12,Arunachal Pradesh,719,Lower Siang,12,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,165,Mahoba,09,169,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
23,Madhya Pradesh,415,Mandla,23,454,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
33,Tamil Nadu,735,Mayiladuthurai,33,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,513,Medak,00,535,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,170,Mirzapur,09,199,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
13,Nagaland,246,Mokokchung,13,262,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,171,Moradabad,09,135,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
24,Gujarat,673,Morbi,24,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,482,Mumbai,27,519,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,483,Mumbai Suburban,27,518,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,694,Nagarkurnool,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,209,Nalanda,10,229,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,514,Nalgonda,00,539,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,210,Nawada,10,237,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
7,Delhi,80,North,07,091,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
7,Delhi,82,North West,07,090,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
12,Arunachal Pradesh,237,Papum Pare,12,248,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
32,Kerala,564,Pathanamthitta,32,599,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
24,Gujarat,456,Porbandar,24,478,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,120,Prayagraj,09,175,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,175,Rae Bareli,09,158,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
29,Karnataka,546,Raichur,29,559,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,683,Rajanna Sircilla,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
1,Jammu And Kashmir,621,Ramban,01,017,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
23,Madhya Pradesh,423,Ratlam,23,434,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
6,Haryana,72,Rewari,06,085,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
17,Meghalaya,276,Ri Bhoi,17,297,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
6,Haryana,73,Rohtak,06,082,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
1,Jammu And Kashmir,624,Samba,01,022,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
21,Odisha,371,Sambalpur,21,372,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,493,Sangli,27,531,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
23,Madhya Pradesh,427,Sehore,23,445,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
14,Manipur,257,Senapati,14,272,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,780,Shahpura,08,NA,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,219,Sheikhpura,10,228,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
12,Arunachal Pradesh,679,Siang,12,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,692,Siddipet,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
2,Himachal Pradesh,24,Sirmaur,02,032,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
18,Assam,300,Sivasagar,18,311,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
18,Assam,301,Sonitpur,18,306,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
16,Tripura,271,South Tripura,16,290,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,185,Sultanpur,09,179,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
21,Odisha,373,Sundargarh,21,374,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
24,Gujarat,459,Surat,24,492,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
24,Gujarat,460,Surendranagar,24,475,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
33,Tamil Nadu,594,Thoothukkudi,33,627,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
32,Kerala,566,Thrissur,32,594,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
28,Andhra Pradesh,752,Tirupati,28,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
13,Nagaland,249,Tuensang,13,267,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
5,Uttarakhand,56,Udam Singh Nagar,05,067,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
1,Jammu And Kashmir,14,Udhampur,01,019,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
23,Madhya Pradesh,435,Ujjain,23,435,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,186,Unnao,09,156,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
19,West Bengal,311,Uttar Dinajpur,19,330,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
33,Tamil Nadu,595,Vellore,33,605,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,693,Wanaparthy,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
28,Andhra Pradesh,523,West Godavari,28,546,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
12,Arunachal Pradesh,242,West Kameng,12,246,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
6,Haryana,76,Yamunanagar,06,071,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,500,Yavatmal,27,510,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,466,Ahmednagar,27,522,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
28,Andhra Pradesh,745,Alluri Sitharama Raju,28,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,154,Amroha,09,137,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
28,Andhra Pradesh,744,Anakapalli,28,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
12,Arunachal Pradesh,628,Anjaw,12,260,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,776,Anupgarh,08,NA,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,122,Auraiya,09,162,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,140,Ayodhya,09,177,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
18,Assam,739,Bajali,18,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
21,Odisha,345,Balangir,21,393,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,129,Bara Banki,09,176,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,690,Bhadradri Kothagudem,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,91,Bharatpur,08,105,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,193,Bhojpur,10,231,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,93,Bikaner,08,101,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
19,West Bengal,307,Birbhum,19,334,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
6,Haryana,701,Charki Dadri,06,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
29,Karnataka,630,Chikkaballapura,29,582,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
28,Andhra Pradesh,503,Chittoor,28,554,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
22,Chhattisgarh,376,Dakshin Bastar Dantewada,22,416,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
18,Assam,283,Darrang,18,325,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
5,Uttarakhand,49,Dehradun,05,060,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
21,Odisha,351,Deogarh,21,373,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
18,Assam,284,Dhemaji,18,308,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
18,Assam,285,Dhubri,18,301,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
12,Arunachal Pradesh,230,Dibang Valley,12,257,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,768,Didwana-Kuchaman,08,NA,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
13,Nagaland,244,Dimapur,13,265,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
33,Tamil Nadu,572,Dindigul,33,612,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
38,The Dadra And Nagar Haveli And Daman And Diu,464,Diu,NA,494,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
1,Jammu And Kashmir,4,Doda,01,016,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,99,Dungarpur,08,124,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
12,Arunachal Pradesh,232,East Siang,12,251,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
32,Kerala,555,Ernakulam,32,595,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,138,Etah,09,201,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,141,Farrukhabad,09,159,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
6,Haryana,61,Fatehabad,06,078,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,142,Fatehpur,09,172,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
29,Karnataka,537,Gadag,29,561,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,771,Gangapurcity,08,NA,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
11,Sikkim,225,Gangtok,11,244,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,145,Ghaziabad,09,140,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,147,Gonda,09,183,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,197,Gopalganj,10,217,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
3,Punjab,32,Gurdaspur,03,035,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
23,Madhya Pradesh,407,Gwalior,23,421,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
18,Assam,289,Hailakandi,18,318,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,101,Hanumangarh,08,100,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,150,Hardoi,09,155,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
20,Jharkhand,332,Hazaribagh,20,360,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,477,Hingoli,27,512,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,681,Jagitial,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
21,Odisha,356,Jajapur,21,382,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
20,Jharkhand,333,Jamtara,20,363,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,198,Jamui,10,238,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
22,Chhattisgarh,379,Janjgir-Champa,22,405,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,199,Jehanabad,10,239,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
19,West Bengal,703,Jhargram,19,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,200,Kaimur (Bhabua),10,233,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
33,Tamil Nadu,574,Kancheepuram,33,604,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
21,Odisha,359,Kandhamal,21,390,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
2,Himachal Pradesh,18,Kangra,02,024,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,155,Kannauj,09,160,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
6,Haryana,67,Karnal,06,074,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,633,Kasganj,09,202,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
